Name,Height,FederalStateid,Picture
Kleiner Tenn,2641,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Glocknergruppe.jpg/1000px-Glocknergruppe.jpg
Kastenegg,2647,2,
Figerhorn,2657,2,
Radingberg,613,4,
Tamberg,1494,4,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Sangaste_m%C3%B5isa_peahoone1.jpg/1000px-Sangaste_m%C3%B5isa_peahoone1.jpg
Hutberg,1167,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/D%C3%BCrrhennersdorfer_Hutberg_Mike-Kr%C3%BCger_080726_1.JPG/1000px-D%C3%BCrrhennersdorfer_Hutberg_Mike-Kr%C3%BCger_080726_1.JPG
Mitterberg,1538,4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/113_Schloss_Gstatt%2C_Mitterberg_drawing_by_S._K%C3%B6lbl_-_J.F.Kaiser_Lithografirte_Ansichten_der_Steiermark_1830.jpg/1000px-113_Schloss_Gstatt%2C_Mitterberg_drawing_by_S._K%C3%B6lbl_-_J.F.Kaiser_Lithografirte_Ansichten_der_Steiermark_1830.jpg
Zamseggerkogel,941,4,
Sattelkoppen,1983,8,
Schönberg,1810,8,https://upload.wikimedia.org/wikipedia/commons/9/9a/Siebenhengste.jpg
Zoderberg,1802,8,
Schafberg,1727,8,https://upload.wikimedia.org/wikipedia/commons/d/db/Schafberg_Bahn.jpg
Leistenstein,1433,8,
Kirchdorfberg,1305,8,
Glatzeck,997,4,
Gstättenberg,670,4,
Brennetgupf,670,4,
Vorderer Raucher,1609,8,
Hinterer Raucher,1547,8,
Schafberg,1273,8,https://upload.wikimedia.org/wikipedia/commons/d/db/Schafberg_Bahn.jpg
Kufberg,706,4,
Lauffner Berg,526,4,
Pötschenstein,1077,8,
Tauern,969,4,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Venedigergruppe.jpg/1000px-Venedigergruppe.jpg
Hoher Rosenkogel,1218,4,
Mitterberg,1101,4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/113_Schloss_Gstatt%2C_Mitterberg_drawing_by_S._K%C3%B6lbl_-_J.F.Kaiser_Lithografirte_Ansichten_der_Steiermark_1830.jpg/1000px-113_Schloss_Gstatt%2C_Mitterberg_drawing_by_S._K%C3%B6lbl_-_J.F.Kaiser_Lithografirte_Ansichten_der_Steiermark_1830.jpg
Feuerkogel,1276,4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Feuerkogel.jpg/1000px-Feuerkogel.jpg
Hoher Raschberg,1276,4,
Ahornkogel,1368,8,
Tressenstein,959,8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Altaussee_vom_Loser.JPG/1000px-Altaussee_vom_Loser.JPG
Dimmelberg,969,8,
Gosaueck,1120,4,
Rauer Koppen,1572,8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/1000px-Flag_of_New_Zealand.svg.png
Hoher Koppen,1285,4,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Sonnblick_Hocharn_Jul2007.jpg/1000px-Sonnblick_Hocharn_Jul2007.jpg
Hohe Sieg,1082,4,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/North_Rhine-Westphalia_Topography_08.png/1000px-North_Rhine-Westphalia_Topography_08.png
Hageneck,1239,4,
Tauernkogel,1947,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Eiskogel.jpg/1000px-Eiskogel.jpg
Zetzenbergkogel,671,3,
Gschirrhörndl,1690,3,
Klobner Kopf,2187,3,
Kirchstein,2001,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Benediktenwand%2C_1800_m.jpg/1000px-Benediktenwand%2C_1800_m.jpg
Hirschkogel,1413,3,
Feuersengköpfl,688,3,
Frommer Kogel,1635,3,https://upload.wikimedia.org/wikipedia/commons/c/c7/Kogel_mogel.JPG
Ladenberg,1708,3,https://upload.wikimedia.org/wikipedia/commons/8/8a/Adalbert_von_Ladenberg_%28Tripota%29.jpg
Schwarzkogel,1307,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Mariborsko_pohorje_panorama.jpg/1000px-Mariborsko_pohorje_panorama.jpg
Schwarzenegg,1521,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Kanton_Bern_-_S%C3%BCderenmoos.jpg/1000px-Kanton_Bern_-_S%C3%BCderenmoos.jpg
Ochsenkopf,1428,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Gromalia_prisoner_of_war_camp.jpg/1000px-Gromalia_prisoner_of_war_camp.jpg
Gamskarkogel,1888,3,
Plattenkopf,907,3,
Torsäule,2649,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/TorsauleShora.jpg/1000px-TorsauleShora.jpg
Buchberg,827,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/TheChurchOfBuchberg.jpg/1000px-TheChurchOfBuchberg.jpg
Gamsleitenkopf,1896,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/TorsauleShora.jpg/1000px-TorsauleShora.jpg
Faistalkopf,1470,3,
Tiefentalköderl,1569,3,
Brennerköpfl,1216,3,
Oberes Gründeck,1259,3,
Filzkogel,1715,3,
Zederbergkopf,1208,3,
Grindkogel,1739,3,
Sonntagskogel,1739,3,
Kitzsteinhörndl,1790,3,
Tennkogel,1618,3,
Eßkopf,1618,3,
Schober,2037,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Alps_satellite_in_winter.jpg/1000px-Alps_satellite_in_winter.jpg
Sandkogel,2037,3,
Schiedreitspitz,2037,3,
Luxkogel,1801,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/FM4.svg/1000px-FM4.svg.png
Zirmstein,1620,3,
Penkkopf,1981,3,
Zwieselkopf,1503,3,
Austuhl,1907,3,
Hochegg,1907,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Kapelle_radersdorf.JPG/1000px-Kapelle_radersdorf.JPG
Arlspitze,1907,3,
Urkübl,1886,3,
Gasteiner Höhe,1717,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Bad_Gastein_Centre_1997-02-01.jpg/1000px-Bad_Gastein_Centre_1997-02-01.jpg
Hörndl,1505,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Pfarrkirche_Tarsdorg.jpg/1000px-Pfarrkirche_Tarsdorg.jpg
Karriedel,1871,3,
Schwalbenfelsen,403,5,
Binderberg,318,5,
Gerichtsberg,452,5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Alps_satellite_in_winter.jpg/1000px-Alps_satellite_in_winter.jpg
Hohe Sulz,382,5,https://upload.wikimedia.org/wikipedia/commons/e/e9/Taku_glacier_firn_ice_sampling.png
Gollitsch,248,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/German_Austria_%281918%29_en.svg/1000px-German_Austria_%281918%29_en.svg.png
Schafberg,473,5,https://upload.wikimedia.org/wikipedia/commons/d/db/Schafberg_Bahn.jpg
Arzberg,469,5,https://upload.wikimedia.org/wikipedia/commons/3/35/Arzberg_Zuckerdose.png
Hufnagelberg,475,5,
Kreuzberg,488,5,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Tempelhofer_Ufer_B-Kreuzberg_06-2017_img2.jpg/1000px-Tempelhofer_Ufer_B-Kreuzberg_06-2017_img2.jpg
Kirchberg,512,5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Ulm-Wiblingen-Fugger.png
Kreuzberg,497,5,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Tempelhofer_Ufer_B-Kreuzberg_06-2017_img2.jpg/1000px-Tempelhofer_Ufer_B-Kreuzberg_06-2017_img2.jpg
Goggitschberg,471,5,
Kohlberg,489,5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Hudson_Yards_from_Hudson_Commons_%2895131p%29_%2830_Hudson_Yards%29.jpg/1000px-Hudson_Yards_from_Hudson_Commons_%2895131p%29_%2830_Hudson_Yards%29.jpg
Prutzenberg,425,5,
Halterberg,536,5,
Hoher Punkt,549,5,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Erlkonig1sted.jpg/1000px-Erlkonig1sted.jpg
Scheibenkogel,528,5,
Buchberg,505,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/TheChurchOfBuchberg.jpg/1000px-TheChurchOfBuchberg.jpg
Klumetzberg,469,5,
Wetzlesberg,535,5,
Jasweinberg,510,5,
Zemmendorfer Berg,519,5,
Schlagberg,524,5,
Jungfrauenberg,581,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Sphinx_et_Jungfrau_-_img_06980.jpg/1000px-Sphinx_et_Jungfrau_-_img_06980.jpg
Speisenberg,473,5,
Hoher Stein,539,5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hoher_Dachstein5830.JPG/1000px-Hoher_Dachstein5830.JPG
Amerexel,592,5,
Pyhringer Höhe,676,5,
Loosberg,632,5,https://upload.wikimedia.org/wikipedia/commons/5/53/Prinz_Eduard_Liechtenstein.jpg
Predigtstuhl,714,5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Predigtstuhl01.jpg/1000px-Predigtstuhl01.jpg
Satzling,628,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Blausen_0649_Monocyte_%28crop%29.png/1000px-Blausen_0649_Monocyte_%28crop%29.png
Galgenberg,531,5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Maginot_line_1.jpg/1000px-Maginot_line_1.jpg
Schloßberg,522,5,https://upload.wikimedia.org/wikipedia/commons/3/3c/Jack_Schlossberg_in_2024.jpg
Kalkberg,594,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Kalkberg_von_sued.JPG/1000px-Kalkberg_von_sued.JPG
Hoher Stein,666,5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hoher_Dachstein5830.JPG/1000px-Hoher_Dachstein5830.JPG
Pyramide,647,5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Werenoi_%283x4_cropped%29.jpg/1000px-Werenoi_%283x4_cropped%29.jpg
Mühlberg,645,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Carlos_V_en_M%C3%BChlberg%2C_by_Titian%2C_from_Prado_in_Google_Earth.jpg/1000px-Carlos_V_en_M%C3%BChlberg%2C_by_Titian%2C_from_Prado_in_Google_Earth.jpg
Gerichtsberg,545,5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Alps_satellite_in_winter.jpg/1000px-Alps_satellite_in_winter.jpg
Harlüßberg,485,5,
Steinberg,590,5,https://upload.wikimedia.org/wikipedia/commons/d/d4/Morleigh_Steinberg.jpg
Burgstallberg,585,5,
Neuteichberg,612,5,
Birkenberg,545,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Hochkoenig.jpg/1000px-Hochkoenig.jpg
Buchberg,577,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/TheChurchOfBuchberg.jpg/1000px-TheChurchOfBuchberg.jpg
Lußberg,545,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/L%C3%BCneburger_Heide_-_038.jpg/1000px-L%C3%BCneburger_Heide_-_038.jpg
Galgenberg,583,5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Maginot_line_1.jpg/1000px-Maginot_line_1.jpg
Hausberg,581,5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Hollywood_sign_02.JPG/1000px-Hollywood_sign_02.JPG
Hofbauernberg,581,5,
Hoher Berg,550,5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hoher_Dachstein5830.JPG/1000px-Hoher_Dachstein5830.JPG
Machoberg,545,5,
Teichberg,531,5,https://upload.wikimedia.org/wikipedia/commons/3/31/Hexenberg_07.jpg
Hörmannsberg,557,5,
Teichberg,557,5,https://upload.wikimedia.org/wikipedia/commons/3/31/Hexenberg_07.jpg
Haselberg,557,5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/SophievonHaselberg-byPhilipRomano.jpg/1000px-SophievonHaselberg-byPhilipRomano.jpg
Schindelberg,652,5,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Riese_1944.svg/1000px-Riese_1944.svg.png
Sengerberg,436,8,
Harrachberg,324,8,
Grubberg,392,8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Ybbstalbahn_01.jpg/1000px-Ybbstalbahn_01.jpg
Reithberg,439,8,
Berghanselberg,301,8,
Traubenberg,409,8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Ilja_Jefimowitsch_Repin_-_Reply_of_the_Zaporozhian_Cossacks_-_Yorck.jpg/1000px-Ilja_Jefimowitsch_Repin_-_Reply_of_the_Zaporozhian_Cossacks_-_Yorck.jpg
Wagenhoferberg,379,8,
Mayerhanselberg,379,8,
Lamberg,381,8,https://upload.wikimedia.org/wikipedia/commons/e/e3/Lamberg_F%C3%BCrsten_Wappen.jpg
Hamberg,413,8,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Thatcher_Peninsula_-_South_Georgia.svg/1000px-Thatcher_Peninsula_-_South_Georgia.svg.png
Bloderberg,310,8,
Tontelberg,332,8,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Fisherman%27s_Cottages_Hotagterklip%2C_Struisbaai._06.jpg/1000px-Fisherman%27s_Cottages_Hotagterklip%2C_Struisbaai._06.jpg
Keberberg,361,8,
Labillberg,334,8,
Jahrbachberg,341,8,
Asselberg,281,8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Macuahuitl_%28DSC07972a%29.jpg/1000px-Macuahuitl_%28DSC07972a%29.jpg
Ascherlberg,293,8,
Klompfenberg,281,8,
Droschenberg,344,8,
Nesselbachberg,320,8,
Höfberg,297,8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Stadtmitte_Bad_Aibling_mit_Schloss_Prantshausen_und_Sebastianikirche.jpg/1000px-Stadtmitte_Bad_Aibling_mit_Schloss_Prantshausen_und_Sebastianikirche.jpg
Grillberg,293,8,
Steinberg,383,8,https://upload.wikimedia.org/wikipedia/commons/d/d4/Morleigh_Steinberg.jpg
Salzwipfel,315,8,
Tostlereck,377,9,
Karlhöhe,356,8,
Kogelegg,376,8,
Zotterberg,348,9,
Kalchberg,341,9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/AnthocharisCardamines_2002Z.jpg/1000px-AnthocharisCardamines_2002Z.jpg
Schneiderkogel,383,9,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Tauplitz_-_Ortsansicht.JPG/1000px-Tauplitz_-_Ortsansicht.JPG
Rotterberg,348,9,
Hochwartkogel,269,8,
Schirrenkogel,313,8,
Rosenberg,389,8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Alps_geology_map_en.jpg/1000px-Alps_geology_map_en.jpg
Nägelsdorfberg,250,8,
Königsberg,399,8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/K%C3%B6nigsberg_Castle.jpg/1000px-K%C3%B6nigsberg_Castle.jpg
Bärenloch,1967,10,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Rax.jpg/1000px-Rax.jpg
Schneeberg,2252,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Schneeberg_Fichtelgebirge.jpg/1000px-Schneeberg_Fichtelgebirge.jpg
Niederer Gjaidstein,2252,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Simonyhuette.jpg/1000px-Simonyhuette.jpg
Niederer Dachstein,2518,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Simonyhuette.jpg/1000px-Simonyhuette.jpg
Hohe Stuhl,1729,8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Marktplatz_Bayreuth.JPG/1000px-Marktplatz_Bayreuth.JPG
Haxberg,1697,8,
Miesberg,1919,8,
Scheiblingstein,1997,8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Ardning_Scheiblingstein.jpg/1000px-Ardning_Scheiblingstein.jpg
Mitterstein,1997,8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Tauplitz_-_Ortsansicht.JPG/1000px-Tauplitz_-_Ortsansicht.JPG
Tor,2055,3,https://upload.wikimedia.org/wikipedia/commons/4/41/Protein_FRAP1_PDB_1aue.png
Sonnwendkogel,1486,8,
Kreuzleiten,1107,8,
Aicher Stein,1352,8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Rotisng.svg/1000px-Rotisng.svg.png
Hirnberg,1352,8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Magischer_Wald.JPG/1000px-Magischer_Wald.JPG
Kufstein,1706,8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Kufstein_Festung_Pendling-1.jpg/1000px-Kufstein_Festung_Pendling-1.jpg
Luserriedel,1647,8,
Sinabell,2128,8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Huerth-Hermuelheim-Neuapostolische-Kirche-005.jpg/1000px-Huerth-Hermuelheim-Neuapostolische-Kirche-005.jpg
Kampspitze,2128,8,
Mitterstein,2104,8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Tauplitz_-_Ortsansicht.JPG/1000px-Tauplitz_-_Ortsansicht.JPG
Eselstein,2104,8,
Hohe Rams,2499,8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Herborn_-_Schloss_R%C3%BCckseite.jpg/1000px-Herborn_-_Schloss_R%C3%BCckseite.jpg
Rössingkogel,1075,8,
Duregg,1547,8,
Sattelberg,1004,8,https://upload.wikimedia.org/wikipedia/commons/1/18/Derrick_VC_flag_016246.JPG
Rittissberg,1451,8,
Saumerberg,1018,8,
Schwarzkogel,1655,8,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Mariborsko_pohorje_panorama.jpg/1000px-Mariborsko_pohorje_panorama.jpg
Freiberg,1601,8,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Freiberg-Petri-Obermarkt.jpg/1000px-Freiberg-Petri-Obermarkt.jpg
Gruberberg,1685,8,
Kreuzberg,2133,8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Tempelhofer_Ufer_B-Kreuzberg_06-2017_img2.jpg/1000px-Tempelhofer_Ufer_B-Kreuzberg_06-2017_img2.jpg
Rauhenberg,2133,8,https://upload.wikimedia.org/wikipedia/commons/0/0f/RhineAtGailingen.jpg
Silbersteinberg,1745,8,
Kahrberg,1745,8,
Lahnberg,1097,8,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Arms_of_the_house_of_Hesse_%281200-1450%29.svg/1000px-Arms_of_the_house_of_Hesse_%281200-1450%29.svg.png
Pulverturm,1924,8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Prag_Pulverturm.jpg/1000px-Prag_Pulverturm.jpg
Bärnriesenberg,1018,8,
Berstenhofberg,1459,8,
Vorderer Wildkarstein,2182,8,
Sonntagkarzinken,2132,8,
Weitgaßbretter,1719,8,
Greifenstein,2317,8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Greifenstein%2C_Luftbild%2C_Juli_2011.jpg/1000px-Greifenstein%2C_Luftbild%2C_Juli_2011.jpg
Hinterer Wildkarstein,2248,8,
Rauhenberg,1834,8,https://upload.wikimedia.org/wikipedia/commons/0/0f/RhineAtGailingen.jpg
Krukeck,2176,8,
Sauberg,2176,8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/D%C3%B6bling_%28Wien%29_-_Kahlenberg_%282%29.JPG/1000px-D%C3%B6bling_%28Wien%29_-_Kahlenberg_%282%29.JPG
Engelkarspitze,2147,8,
Deichselspitze,2214,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Preber.jpg/1000px-Preber.jpg
Roßkogel,2210,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/ZwieselbacherRosskogelFromS.jpg/1000px-ZwieselbacherRosskogelFromS.jpg
Alterkogel,2473,3,
Rotsandspitze,2125,3,
Scharnrock,2125,3,
Samerkogel,1906,3,
Blutspitze,2439,3,
Schusterstuhl,2250,3,
Silvrettahorn,3104,1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Silvrettahorn_SE.JPG/1000px-Silvrettahorn_SE.JPG
Grübelekopf,2861,10,
Zwölfernock,1940,6,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/VillandererbergFromE.jpg/1000px-VillandererbergFromE.jpg
Zwölferkopf,2514,2,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Grosser_Krottenkopf.JPG/1000px-Grosser_Krottenkopf.JPG
Zwölferhorn,1496,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Sankt_gilgen_2018_1.jpg/1000px-Sankt_gilgen_2018_1.jpg
Zwillingwand,2024,3,
Zwillingskogel,1302,4,
Zwiesel Berg,1041,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Staufen_mountain_germany.jpg/1000px-Staufen_mountain_germany.jpg
Zwiesel Berg,1218,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Staufen_mountain_germany.jpg/1000px-Staufen_mountain_germany.jpg
Zwergenberg,1220,2,
Zwerfenberg,2452,8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Preber.jpg/1000px-Preber.jpg
Zunder Kopf,1772,2,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/German_WW2_torpedo.jpg/1000px-German_WW2_torpedo.jpg
Zuckerhütl,3272,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Zuckerhuetl_seen_from_Wilder_Pfaff%2C_Stubai_Alps%2C_Austria.jpg/1000px-Zuckerhuetl_seen_from_Wilder_Pfaff%2C_Stubai_Alps%2C_Austria.jpg
Zuberbach,346,9,https://upload.wikimedia.org/wikipedia/commons/6/65/Hrvati_gradi%C5%A1%C4%87e.gif
Zottachkopf,1800,6,
Zopetspitz,3066,2,
Zollnerhöhe,1860,6,
Zöbelboden,799,4,
Zlatten Berg,926,8,
Zlannock,902,6,
Zitterauer Tisch,2274,3,
Zischken,2214,3,
Zirmenkopf,2709,1,
Zirleseck,1745,2,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Grosser_Krottenkopf.JPG/1000px-Grosser_Krottenkopf.JPG
Zirlerberg,1277,2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Zirler_Berg_Pests%C3%A4ule_01.jpg/1000px-Zirler_Berg_Pests%C3%A4ule_01.jpg
Zirbitzkogel,2376,8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Zirbitzkogel_sp.jpg/1000px-Zirbitzkogel_sp.jpg
Zippelkogel,988,4,
Zinsberg,1359,2,
Zinödl Berg,1138,8,
Zinödl,2026,8,
Zinnenberg,1502,10,https://upload.wikimedia.org/wikipedia/commons/f/f2/Bitwapodchojnicami.jpg
Zinkenspitzen,2405,2,
Zinken Kogel,1813,8,
Zinken,950,8,https://upload.wikimedia.org/wikipedia/commons/b/b7/Zinken_Hopp_1964.jpg
Sorgschrofen,1319,10,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Sorgschrofen.JPG/1000px-Sorgschrofen.JPG
Seckauer Zinken,2152,8,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Hochreichhart.jpg/1000px-Hochreichhart.jpg
Zingerstein,1893,2,
Ziethenkopf,1889,6,
Zickenberg,1747,3,
Zettersfeld,2199,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Start_zum_Red_Bull_Dolomitenmann.jpg/1000px-Start_zum_Red_Bull_Dolomitenmann.jpg
Zepsspitze,2437,3,
Zeneberg,1909,6,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Protein_CUL5_PDB_3DPL.png/1000px-Protein_CUL5_PDB_3DPL.png
Zemseck,825,4,
Zeitschenberg,1258,4,
Zeiseleck,1043,8,
Zeiritzkampel,1667,8,
Zeindlkopf,1665,2,
Zeigerberg,2341,2,
Zehnerkarspitze,1680,3,
Zehneranger,1162,8,
Zeckerleiten,949,4,
Zechnerschlag Kogel,1378,8,
Zechnerhöhe,1864,6,
Zechnereck,1642,8,
Zeberer Alpe,1101,8,
Zargenkopf,1612,8,
Zarfelkogel,1318,6,
Zähne,2015,2,https://upload.wikimedia.org/wikipedia/commons/e/e7/Peter_Simonischek_crop03.jpg
Zagel Kogel,2003,8,
Wurzerkampl,1576,4,
Würflingerhöhe,2127,8,
Wonnekopf,2164,2,
Wölzer Tauern,1474,8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Hochgolling_von_Sueden.jpg/1000px-Hochgolling_von_Sueden.jpg
Wolscheneck,1695,8,
Wöllaner Nock,2121,6,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Nationalpark_Nockberge_Landschaft_26082007_01.jpg/1000px-Nationalpark_Nockberge_Landschaft_26082007_01.jpg
Wölkerkogel,1545,8,
