Name,Height,FederalStateid,Picture
Gamskarkogel,1888,3,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Oesterreich_Bergkette_bei_Bad_Gastein_Gasteiner_Tal.JPG/1000px-Oesterreich_Bergkette_bei_Bad_Gastein_Gasteiner_Tal.JPG
Plattenkopf,907,3,
Torsäule,2649,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/TorsauleShora.jpg/1000px-TorsauleShora.jpg
Buchberg,827,3,
Gamsleitenkopf,1896,3,
Faistalkopf,1470,3,
Tiefentalköderl,1569,3,
Brennerköpfl,1216,3,
Oberes Gründeck,1259,3,
Filzkogel,1715,3,
Zederbergkopf,1208,3,
Grindkogel,1739,3,
Sonntagskogel,1739,3,
Kitzsteinhörndl,1790,3,
Tennkogel,1618,3,
Eßkopf,1618,3,
Schober,2037,3,
Sandkogel,2037,3,
Schiedreitspitz,2037,3,
Luxkogel,1801,3,
Zirmstein,1620,3,
Penkkopf,1981,3,
Zwieselkopf,1503,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Ritterstein_Am_Zwiesel_Pfalz.JPG/1000px-Ritterstein_Am_Zwiesel_Pfalz.JPG
Austuhl,1907,3,
Hochegg,1907,3,
Arlspitze,1907,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Schuhflicker-Grossarltal.jpg/1000px-Schuhflicker-Grossarltal.jpg
Urkübl,1886,3,
Gasteiner Höhe,1717,3,
Hörndl,1505,3,
Karriedel,1871,3,
Schwalbenfelsen,403,5,
Binderberg,318,5,
Gerichtsberg,452,5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Gerichtsberg_3734.jpg/1000px-Gerichtsberg_3734.jpg
Hohe Sulz,382,5,
Gollitsch,248,5,
Schafberg,473,5,
Arzberg,469,5,
Hufnagelberg,475,5,
Kreuzberg,488,5,
Kirchberg,512,5,
Kreuzberg,497,5,
Goggitschberg,471,5,
Kohlberg,489,5,
Prutzenberg,425,5,
Halterberg,536,5,
Hoher Punkt,549,5,
Scheibenkogel,528,5,
Buchberg,505,5,
Klumetzberg,469,5,
Wetzlesberg,535,5,
Jasweinberg,510,5,
Zemmendorfer Berg,519,5,
Schlagberg,524,5,
Jungfrauenberg,581,5,
Speisenberg,473,5,
Hoher Stein,539,5,
Amerexel,592,5,
Pyhringer Höhe,676,5,
Loosberg,632,5,
Predigtstuhl,714,5,
Satzling,628,5,
Galgenberg,531,5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Verg%C3%A4nglichkeitsbuch_262_126v_Totentanz.jpg/1000px-Verg%C3%A4nglichkeitsbuch_262_126v_Totentanz.jpg
Schloßberg,522,5,
Kalkberg,594,5,
Hoher Stein,666,5,
Pyramide,647,5,
Mühlberg,645,5,
Gerichtsberg,545,5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Gerichtsberg_3734.jpg/1000px-Gerichtsberg_3734.jpg
Harlüßberg,485,5,
Steinberg,590,5,
Burgstallberg,585,5,
Neuteichberg,612,5,
Birkenberg,545,5,
Buchberg,577,5,
Lußberg,545,5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Lu%C3%9Fberg-Bauernhaus.jpg/1000px-Lu%C3%9Fberg-Bauernhaus.jpg
Galgenberg,583,5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Verg%C3%A4nglichkeitsbuch_262_126v_Totentanz.jpg/1000px-Verg%C3%A4nglichkeitsbuch_262_126v_Totentanz.jpg
Hausberg,581,5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Salzburg_grosse_Panorama_original.jpg/1000px-Salzburg_grosse_Panorama_original.jpg
Hofbauernberg,581,5,
Hoher Berg,550,5,
Machoberg,545,5,
Teichberg,531,5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Karow-NSGTeichberg-52.60463%C2%B0N_13.48523%C2%B0E.JPG/1000px-Karow-NSGTeichberg-52.60463%C2%B0N_13.48523%C2%B0E.JPG
Hörmannsberg,557,5,
Teichberg,557,5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Karow-NSGTeichberg-52.60463%C2%B0N_13.48523%C2%B0E.JPG/1000px-Karow-NSGTeichberg-52.60463%C2%B0N_13.48523%C2%B0E.JPG
Haselberg,557,5,
Schindelberg,652,5,
Sengerberg,436,8,
Harrachberg,324,8,
Grubberg,392,8,
Reithberg,439,8,
Berghanselberg,301,8,
Traubenberg,409,8,
Wagenhoferberg,379,8,
Mayerhanselberg,379,8,
Lamberg,381,8,
Hamberg,413,8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Landschaftsschutzgebiet_Waldg%C3%BCrtel_zwischen_Salzgitter-Osterlinde_und_Salzgitter-Bad_%28Salzgitterscher_H%C3%B6henzug%29_-_Blick_vom_Bismarckturm_in_Richtung_Brocken_%282%29.jpg/1000px-thumbnail.jpg
Bloderberg,310,8,
Tontelberg,332,8,
Keberberg,361,8,
Labillberg,334,8,
Jahrbachberg,341,8,
Asselberg,281,8,
Ascherlberg,293,8,
Klompfenberg,281,8,
Droschenberg,344,8,
Nesselbachberg,320,8,
Höfberg,297,8,
Grillberg,293,8,
Steinberg,383,8,
Salzwipfel,315,8,
Tostlereck,377,9,
Karlhöhe,356,8,
Kogelegg,376,8,
Zotterberg,348,9,
Kalchberg,341,9,
Schneiderkogel,383,9,
Rotterberg,348,9,
Hochwartkogel,269,8,
Schirrenkogel,313,8,
Rosenberg,389,8,
Nägelsdorfberg,250,8,
Königsberg,399,8,
Bärenloch,1967,10,
Schneeberg,2252,4,
Niederer Gjaidstein,2252,4,
Niederer Dachstein,2518,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Dachstein_Para.JPG/1000px-Dachstein_Para.JPG
Hohe Stuhl,1729,8,
Haxberg,1697,8,
Miesberg,1919,8,
Scheiblingstein,1997,8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Scheiblingstein_02.jpg/1000px-Scheiblingstein_02.jpg
Mitterstein,1997,8,
Tor,2055,3,
Sonnwendkogel,1486,8,
Kreuzleiten,1107,8,
Aicher Stein,1352,8,
Hirnberg,1352,8,
Kufstein,1706,8,https://upload.wikimedia.org/wikipedia/commons/3/30/Kufstein_im_Bezirk_KU.png
Luserriedel,1647,8,
Sinabell,2128,8,
Kampspitze,2128,8,
Mitterstein,2104,8,
Eselstein,2104,8,
Hohe Rams,2499,8,
Rössingkogel,1075,8,
Duregg,1547,8,
Sattelberg,1004,8,
Rittissberg,1451,8,
Saumerberg,1018,8,
Schwarzkogel,1655,8,
Freiberg,1601,8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/DEU_Freiberg_COA.svg/1000px-DEU_Freiberg_COA.svg.png
Gruberberg,1685,8,
Kreuzberg,2133,8,
Rauhenberg,2133,8,
Silbersteinberg,1745,8,
Kahrberg,1745,8,
Lahnberg,1097,8,
Pulverturm,1924,8,https://upload.wikimedia.org/wikipedia/commons/0/01/Pulverturm_Meschede.jpg
Bärnriesenberg,1018,8,
Berstenhofberg,1459,8,
Vorderer Wildkarstein,2182,8,
Sonntagkarzinken,2132,8,
Weitgaßbretter,1719,8,
Greifenstein,2317,8,
Hinterer Wildkarstein,2248,8,
Rauhenberg,1834,8,
Krukeck,2176,8,
Sauberg,2176,8,
Engelkarspitze,2147,8,
Deichselspitze,2214,3,
Roßkogel,2210,3,
Alterkogel,2473,3,
Rotsandspitze,2125,3,
Scharnrock,2125,3,
Samerkogel,1906,3,
Blutspitze,2439,3,
Schusterstuhl,2250,3,
Silvrettahorn,3104,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/SilvrettahornFromN.JPG/1000px-SilvrettahornFromN.JPG
Grübelekopf,2861,10,
Zwölfernock,1940,6,
Zwölferkopf,2514,2,
Zwölferhorn,1496,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Zw%C3%B6lferhorn_von_St.Gilgen.JPG/1000px-Zw%C3%B6lferhorn_von_St.Gilgen.JPG
Zwillingwand,2024,3,
Zwillingskogel,1302,4,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Zwillingskogel.JPG/1000px-Zwillingskogel.JPG
Zwiesel Berg,1041,4,
Zwiesel Berg,1218,5,
Zwergenberg,1220,2,
Zwerfenberg,2452,8,
Zunder Kopf,1772,2,
Zuckerhütl,3272,2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Zuckerh%C3%BCtl_Gipfelaufbau_gesehen_von_Westen.jpg/1000px-Zuckerh%C3%BCtl_Gipfelaufbau_gesehen_von_Westen.jpg
Zuberbach,346,9,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Kirche_zuberbach.JPG/1000px-Kirche_zuberbach.JPG
Zottachkopf,1800,6,
Zopetspitz,3066,2,
Zollnerhöhe,1860,6,
Zöbelboden,799,4,
Zlatten Berg,926,8,
Zlannock,902,6,
Zitterauer Tisch,2274,3,
Zischken,2214,3,
Zirmenkopf,2709,1,
Zirleseck,1745,2,
Zirlerberg,1277,2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Zirler_Berg_Pests%C3%A4ule_01.jpg/1000px-Zirler_Berg_Pests%C3%A4ule_01.jpg
Zirbitzkogel,2376,8,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Zirbitzkogel_IKAl.JPG/1000px-Zirbitzkogel_IKAl.JPG
Zippelkogel,988,4,
Zinsberg,1359,2,
Zinödl Berg,1138,8,
Zinödl,2026,8,
Zinnenberg,1502,10,
Zinkenspitzen,2405,2,
Zinken Kogel,1813,8,
Zinken,950,8,
Sorgschrofen,1319,10,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Sorgschrofen.JPG/1000px-Sorgschrofen.JPG
Seckauer Zinken,2152,8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/SeckauerZinkenvonNordosten.jpg/1000px-SeckauerZinkenvonNordosten.jpg
Zingerstein,1893,2,
Ziethenkopf,1889,6,
Zickenberg,1747,3,
Zettersfeld,2199,2,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Austria_Tyrol_location_map.svg/1000px-Austria_Tyrol_location_map.svg.png
Zepsspitze,2437,3,
Zeneberg,1909,6,
Zemseck,825,4,
Zeitschenberg,1258,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Zeitschenberg_Reichraminger_Hintergebirge_20191230a.jpg/1000px-Zeitschenberg_Reichraminger_Hintergebirge_20191230a.jpg
Zeiseleck,1043,8,
Zeiritzkampel,1667,8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Zeiritzkampel_Gipfel_10_2022.jpg/1000px-Zeiritzkampel_Gipfel_10_2022.jpg
Zeindlkopf,1665,2,
Zeigerberg,2341,2,
Zehnerkarspitze,1680,3,
Zehneranger,1162,8,
Zeckerleiten,949,4,
Zechnerschlag Kogel,1378,8,
Zechnerhöhe,1864,6,
Zechnereck,1642,8,
Zeberer Alpe,1101,8,
Zargenkopf,1612,8,
Zarfelkogel,1318,6,
Zähne,2015,2,https://upload.wikimedia.org/wikipedia/commons/3/35/06-10-06centralincisors.jpg
Zagel Kogel,2003,8,
Wurzerkampl,1576,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wurzerkampl_Totes_Gebirge_20070210a.jpg/1000px-Wurzerkampl_Totes_Gebirge_20070210a.jpg
Würflingerhöhe,2127,8,
Wonnekopf,2164,2,
Wölzer Tauern,1474,8,
Wolscheneck,1695,8,
Wöllaner Nock,2121,6,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Woellanernock3.jpg/1000px-Woellanernock3.jpg
Wölkerkogel,1545,8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/W%C3%B6lkerkogel.jpg/1000px-W%C3%B6lkerkogel.jpg
Wolfsberg,1094,4,
Wolfödhöhe,439,5,
Monte Volaia,2311,10,
Woising,1733,8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Gro%C3%9Fer_Woising_Feigentalhimmel_Rosskogel_Almsee_20210214.jpg/1000px-Gro%C3%9Fer_Woising_Feigentalhimmel_Rosskogel_Almsee_20210214.jpg
Wohntal Hocheck,1071,8,
Winterstaude,1856,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Winterstaude_von_Norden.jpg/1000px-Winterstaude_von_Norden.jpg
Winsaberg,775,5,
Winkelalpel,574,2,
Windhagkogel,1297,4,
Windgrube,1724,8,
Windegg,1148,8,
Windberg,773,8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/DEU_Windberg_COA.svg/1000px-DEU_Windberg_COA.svg.png
Wildspitze,3720,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Wildspitzefromtiefenbachkogel.JPG/1000px-Wildspitzefromtiefenbachkogel.JPG
Wildseeloder,1908,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Wildseeloder.JPG/1000px-Wildseeloder.JPG
Wildnörder,2675,2,
Wildkogel,2069,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Wildkogel_from_Hollersbach_02.jpg/1000px-Wildkogel_from_Hollersbach_02.jpg
Wildkarkopf,1551,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Wildkarspitze.jpg/1000px-Wildkarspitze.jpg
Wildkarkogel,1827,3,
Wildhorn,2115,6,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Wildhorn01.jpg/1000px-Wildhorn01.jpg
Wildgrat,2640,2,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Wildgrat.JPG/1000px-Wildgrat.JPG
Wildgerlosspitze,3193,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Wildgerlosspitze_kuchelmooskopf.jpg/1000px-Wildgerlosspitze_kuchelmooskopf.jpg
Wildfeld,1553,8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Wildfeld.JPG/1000px-Wildfeld.JPG
Wilder Mann,2500,2,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Tugendreiche_Dame_z%C3%A4hmt_Wildmann.png/1000px-Tugendreiche_Dame_z%C3%A4hmt_Wildmann.png
Wilde Krimel,2280,2,
Wildeggkogel,1485,8,
Wildbühel,1755,3,
Wildbach Alpe,1630,6,
Wildalpe,1010,8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Wildalpe_BlickWesten.jpg/1000px-Wildalpe_BlickWesten.jpg
Wildalmrotkopf,2254,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Wildalmrotkopf.jpg/1000px-Wildalmrotkopf.jpg
Wieslerhorn,1014,3,
Wiesernock,1916,6,
Wieserhörndl,1519,3,
Wieselstein,2010,3,
Wiesberg,773,5,
Wieningsberg,659,5,
Wienerhöhe,690,4,
Wiegeneck,1967,8,
Wiederschwing,1573,6,
Wiedersberger Horn,2071,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Wiedersberger_Horn_NO.JPG/1000px-Wiedersberger_Horn_NO.JPG
Wiedenberg,1105,8,
Widderstein,2390,1,
Weyerberg,1335,3,
Wetzerleiten,1258,8,
Wetzelstein,613,4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Wetzelstein-1-von_NW.jpg/1000px-Wetzelstein-1-von_NW.jpg
Wetterspitzen,2678,2,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Plattumrahmung.jpg/1000px-Plattumrahmung.jpg
Wetter Kogel,1920,8,
Wetterin,1038,8,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Wetterin.jpg/1000px-Wetterin.jpg
Wetschkenkopf,1458,6,
Wenzelalpe,1732,8,
Wendlgupf,911,5,
Wenderkogl,1767,2,
Weitenberg,368,5,
Parete Bianca,2974,10,
Weisswände,1301,6,
Weissstein,1487,2,
Weißspitz,3230,2,
Weißkugel,3677,2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Wei%C3%9Fkugel_langtauferer_Spitze_nordost.jpg/1000px-Wei%C3%9Fkugel_langtauferer_Spitze_nordost.jpg
Weisskogel,2540,2,
Weißes Beil,2443,2,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Wei%C3%9Fes_Beil.JPG/1000px-Wei%C3%9Fes_Beil.JPG
Weissenhöhe,643,4,
Weisseneck,2130,3,
Weisseck,903,4,
Weisseck,2472,3,
Weinschnabel,2442,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Weinschnabel_am_18.9.2023.jpg/1000px-Weinschnabel_am_18.9.2023.jpg
Weinsberg,976,5,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Wappen_Weinsberg.svg/1000px-Wappen_Weinsberg.svg.png
Weineben,1899,6,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Weinebene.jpg/1000px-Weinebene.jpg
Weinberg,867,8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/2022-10-12-Dernau_Weinberg-3253.jpg/1000px-2022-10-12-Dernau_Weinberg-3253.jpg
Weberkogel,1052,8,
Waxriegel,1518,5,
Waxeneck,682,5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/P%C3%B6llau_mit_Waxeneck.jpg/1000px-P%C3%B6llau_mit_Waxeneck.jpg
Waxenberg,541,5,
Wasserkopf,1421,4,
Wasserfallspitze,2248,8,
Wasenwand,2525,2,
Waschberg,325,5,
Großer Wartkopf,2387,3,
Wartenstein,709,8,
Warscheneck,2006,4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Spital_am_Pyhrn_Wurzeralm_Warscheneck_Brunnsteinerkar.jpg/1000px-Spital_am_Pyhrn_Wurzeralm_Warscheneck_Brunnsteinerkar.jpg
Wannig,2446,2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Wannig_nassereith.jpg/1000px-Wannig_nassereith.jpg
Wandl Kogel,1266,8,
Wandaukogel,1205,8,
Walzkogel,988,8,
Walzkogel,940,8,
Wallerberg,1590,2,
Waldhorn,2466,8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Yamaha_Horn_YHR-667V.png/1000px-Yamaha_Horn_YHR-667V.png
Wagrainerhöhe,1939,3,
Wagenbänkberg,1533,8,
Wadecken,1685,6,
Wachtberg,641,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/DEU_Wachtberg_COA.svg/1000px-DEU_Wachtberg_COA.svg.png
Wachholz,858,8,
Wach Berg,863,5,
Wabenriegel,1265,6,
Woschza,1463,10,
Vormauerstein,1008,4,
Vorderunnutz,2025,2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Unnutze_ost.jpg/1000px-Unnutze_ost.jpg
Vorderlabeneck,1634,3,
Vorderkogel,1809,3,
Vordere Steinkar Spitze,2434,6,
Vorderes Sonnwend Joch,2118,2,
Vorderes Freieck,1737,3,
Vorderer Zellerhut,1569,8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Zellerhuete_from_Zellerrain.jpg/1000px-Zellerhuete_from_Zellerrain.jpg
Vorderer Wilder,1500,10,
Vorderer Schwarzmooskogel,1353,8,
Vorderer Satzgrat,2849,2,
Vorderer Findelkarkopf,1789,6,
Vordere Rendlspitze,2542,2,
Vordere Ölgrubenspitzen,3392,2,
Vordere Leier,2431,6,
Voralpe,1028,8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Voralpe_vom_Koenigsberg.jpg/1000px-Voralpe_vom_Koenigsberg.jpg
Voldöppberg,976,2,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Vold%C3%B6ppberg_from_S.jpg/1000px-Vold%C3%B6ppberg_from_S.jpg
Vogelkarspitze,2424,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Schlichtenkarspitze%2C_Vogelkarspitze.JPG/1000px-Schlichtenkarspitze%2C_Vogelkarspitze.JPG
Viehberg,950,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Viehberg.jpg/1000px-Viehberg.jpg
Versettla,2352,1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Versettla.JPG/1000px-Versettla.JPG
Verbella Kopf,2404,1,
Venetberg,2485,2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Venet.jpg/1000px-Venet.jpg
Veitschalpe,1777,8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Hohe_Veitsch_from_Pretul.jpg/1000px-Hohe_Veitsch_from_Pretul.jpg
Veitsberg,1483,2,
Valschavielkopf,2491,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Patteriol.jpg/1000px-Patteriol.jpg
Vallüla,2298,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Vall%C3%BCla_1.jpg/1000px-Vall%C3%BCla_1.jpg
Valluga,2723,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Austria_1.jpg/1000px-Austria_1.jpg
Valisera,1820,1,
Valerie Höhe,618,5,
Urlkogel,452,8,
Urhammer Berg,739,4,
Upsspitze,2156,2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Mountain_Daniel.jpg/1000px-Mountain_Daniel.jpg
Untere Wildgruben Spitze,2518,1,
Unterer Traunstein,1764,3,
Unterer Saubichl,486,5,
Unterer Eisenkopf,2055,2,
Unterberg,1150,5,
Unterberg,827,2,
Ulrichsberg,835,6,https://upload.wikimedia.org/wikipedia/commons/b/b2/Ulrichsberg_im_Bezirk_RO.png
Ulreichsberg,1050,5,
Übelskogel,886,6,
Tyregg,889,5,
Turntaler Kogel,1401,8,
Turneralpe,1435,8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Turneralm.jpg/1000px-Turneralm.jpg
Turm Kogel,605,5,
Turmkogel,1380,2,
Turmberg,659,4,
Turm,1541,8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Towers_Munich_Petueltunnel_Olympia-Toren_BMW-Hoofdkantoor_muurwerk_en_staaltoren_lucht_afzuigen_uit_tunnel_via_schoorsteen_Luc_Deleu_Foto_2005_Wolfgang_Pehlemann_Wiesbaden_PICT0067.jpg/1000px-thumbnail.jpg
Tulbinger Kogel,462,5,
Tuklar,2263,1,
Tschirgant,2293,2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Tussen_Mils-Au_en_Imst%2C_panorama_foto3_2012-08-14_15.10.JPG/1000px-Tussen_Mils-Au_en_Imst%2C_panorama_foto3_2012-08-14_15.10.JPG
Tschierweger Nock,2049,6,
Tschiernock,1982,6,
Tschekelnock,1833,6,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tschekelnock_seen_from_Windische_H%C3%B6he.png/1000px-Tschekelnock_seen_from_Windische_H%C3%B6he.png
Troppberg,433,5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/RotteAmeisberg-Troppberg.JPG/1000px-RotteAmeisberg-Troppberg.JPG
Troiseck,1228,8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/BlickTurnauTroiseck.JPG/1000px-BlickTurnauTroiseck.JPG
Creta di Aip,2072,6,
Tristenwandkopf,2019,3,
Tristen Spitze,2621,6,
Tristenkopf,1143,2,
Triebenstein,1274,8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Hohentauern_10_2021.jpg/1000px-Hohentauern_10_2021.jpg
Drosberg,1948,2,
Trenchtling,1950,8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Trenchtling_Leobner_Mauer.JPG/1000px-Trenchtling_Leobner_Mauer.JPG
Treffauer,1761,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Treffauer_mit_hintersteinersee.jpg/1000px-Treffauer_mit_hintersteinersee.jpg
Traunstein,1563,4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Wappen_Traunstein.svg/1000px-Wappen_Traunstein.svg.png
Tratten,1474,6,
Tratt Berg,1333,3,
Trainsjoch,1493,10,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/20131013-Trainsjoch_029.JPG/1000px-20131013-Trainsjoch_029.JPG
Trailing,924,4,
Traidersberg,859,8,
Trafel Berg,706,5,
Totterfeld,381,8,
Toter Mann,1075,8,
Totenkarspitze,2974,2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Totenkarspitze_bis_Daberspitze.jpg/1000px-Totenkarspitze_bis_Daberspitze.jpg
Torstein,2055,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ramsau_am_Dachstein_-_Dachsteins%C3%BCdwand_%28b%29.JPG/1000px-Ramsau_am_Dachstein_-_Dachsteins%C3%BCdwand_%28b%29.JPG
Tor Spitze,2405,2,
